[GIN] 2026/09/15 - 01:17:03 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:17:05 | 200 |    205.7321ms |             ::1 | POST     "/auth/login"
[GIN] 2026/09/15 - 01:17:17 | 200 |    217.0868ms |             ::1 | POST     "/auth/login"
[GIN] 2026/09/15 - 01:17:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:17:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:17:33 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:18:03 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:18:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:18:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:18:33 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:18:38 | 200 |    203.5998ms |             ::1 | POST     "/auth/login"
[GIN] 2026/09/15 - 01:18:52 | 200 |     168.985ms |             ::1 | POST     "/auth/login"
[GIN] 2026/09/15 - 01:19:03 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:19:31 | 401 |       378.9µs |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:19:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:19:33 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:20:03 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:20:10 | 200 |    172.9761ms |             ::1 | POST     "/auth/login"
[GIN] 2026/09/15 - 01:20:11 | 200 |    281.7319ms |       127.0.0.1 | GET      "/organizations/current"
[GIN] 2026/09/15 - 01:20:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:20:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:20:33 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:21:03 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:21:27 | 401 |            0s |       127.0.0.1 | GET      "/auth/me"
[GIN] 2026/09/15 - 01:21:27 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:21:28 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:21:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:21:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:21:57 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:22:27 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:22:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:22:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:22:56 | 200 |    166.7405ms |             ::1 | POST     "/auth/login"
[GIN] 2026/09/15 - 01:22:57 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:23:08 | 200 |      178.07ms |             ::1 | POST     "/auth/login"
[GIN] 2026/09/15 - 01:23:27 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:23:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:23:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:24:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:24:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:25:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:25:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:26:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:26:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:27:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:27:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:28:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:28:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:29:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:29:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:30:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:30:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:31:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:31:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:32:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
